Itn    Dep Loss    NER Loss      UAS    NER P    NER R    NER F    Tag %  Token %  CPU WPS  GPU WPS
---  ----------  ----------  -------  -------  -------  -------  -------  -------  -------  -------
  0  730074.254       0.000   83.728    0.000    0.000    0.000   88.296  100.000    13065    18561
  1  585143.797       0.000   85.903    0.000    0.000    0.000   90.042  100.000    13044    18554
  2  528810.784       0.000   87.039    0.000    0.000    0.000   90.863  100.000    13129    18653
  3  494952.703       0.000   87.791    0.000    0.000    0.000   91.371  100.000    13087    18688
  4  467904.316       0.000   88.321    0.000    0.000    0.000   91.693  100.000    12736    17834
  5  449060.866       0.000   88.692    0.000    0.000    0.000   92.005  100.000    12994    18436
  6  431676.250       0.000   88.968    0.000    0.000    0.000   92.234  100.000    12904    18163
  7  419410.101       0.000   89.118    0.000    0.000    0.000   92.380  100.000    13023    18545
  8  409140.929       0.000   89.332    0.000    0.000    0.000   92.481  100.000    12995    17800
  9  399804.058       0.000   89.425    0.000    0.000    0.000   92.593  100.000    12625    17556
 10  388269.053       0.000   89.538    0.000    0.000    0.000   92.709  100.000    13077    18236
 11  383005.509       0.000   89.690    0.000    0.000    0.000   92.807  100.000    12793    18351
 12  376349.132       0.000   89.787    0.000    0.000    0.000   92.865  100.000    13131    18299
 13  370760.737       0.000   89.787    0.000    0.000    0.000   92.923  100.000    13112    18442
 14  363231.964       0.000   89.899    0.000    0.000    0.000   92.983  100.000    12984    18396
 15  359492.794       0.000   89.984    0.000    0.000    0.000   93.015  100.000    13032    18407
 16  354718.461       0.000   89.997    0.000    0.000    0.000   93.033  100.000    12906    18000
 17  348863.075       0.000   90.051    0.000    0.000    0.000   93.070  100.000    12684    18131
 18  345021.999       0.000   90.028    0.000    0.000    0.000   93.136  100.000    13074    18248
 19  340775.405       0.000   90.136    0.000    0.000    0.000   93.151  100.000    12794    18122
 20  339733.233       0.000   90.210    0.000    0.000    0.000   93.200  100.000    13025    18424
 21  334986.664       0.000   90.244    0.000    0.000    0.000   93.223  100.000    12930    18307
 22  331680.274       0.000   90.330    0.000    0.000    0.000   93.242  100.000    12931    18440
 23  328637.046       0.000   90.375    0.000    0.000    0.000   93.263  100.000    13071    18230
 24  325896.333       0.000   90.461    0.000    0.000    0.000   93.281  100.000    12736    17926
 25  321809.069       0.000   90.433    0.000    0.000    0.000   93.318  100.000    13085    18422
 26  321136.523       0.000   90.463    0.000    0.000    0.000   93.328  100.000    12726    18054
 27  317701.767       0.000   90.519    0.000    0.000    0.000   93.329  100.000    13039    18524
 28  315789.565       0.000   90.529    0.000    0.000    0.000   93.344  100.000    13083    18453
 29  314422.485       0.000   90.541    0.000    0.000    0.000   93.371  100.000    12912    18248
